   1.2362 + 0.0000i   1.5708 - 1.4175i
   1.2382 + 0.0000i   1.5708 - 1.4115i
   1.2402 + 0.0000i   1.5708 - 1.4056i
   1.2422 + 0.0000i   1.5708 - 1.3998i
   1.2442 + 0.0000i   1.5708 - 1.3940i
   1.2462 + 0.0000i   1.5708 - 1.3883i
   1.2482 + 0.0000i   1.5708 - 1.3826i
   1.2503 + 0.0000i   1.5708 - 1.3770i
   1.2523 + 0.0000i   1.5708 - 1.3714i
   1.2543 + 0.0000i   1.5708 - 1.3659i
   1.2563 + 0.0000i   1.5708 - 1.3604i
   1.2583 + 0.0000i   1.5708 - 1.3550i
   1.2603 + 0.0000i   1.5708 - 1.3496i
   1.2623 + 0.0000i   1.5708 - 1.3443i
   1.2643 + 0.0000i   1.5708 - 1.3390i
   1.2663 + 0.0000i   1.5708 - 1.3338i
   1.2683 + 0.0000i   1.5708 - 1.3286i
   1.2703 + 0.0000i   1.5708 - 1.3235i
   1.2723 + 0.0000i   1.5708 - 1.3184i
   1.2743 + 0.0000i   1.5708 - 1.3133i
   1.2763 + 0.0000i   1.5708 - 1.3083i
   1.2783 + 0.0000i   1.5708 - 1.3033i
   1.2803 + 0.0000i   1.5708 - 1.2984i
   1.2823 + 0.0000i   1.5708 - 1.2935i
   1.2843 + 0.0000i   1.5708 - 1.2887i
   1.2863 + 0.0000i   1.5708 - 1.2839i
   1.2883 + 0.0000i   1.5708 - 1.2791i
   1.2903 + 0.0000i   1.5708 - 1.2743i
   1.2923 + 0.0000i   1.5708 - 1.2696i
   1.2943 + 0.0000i   1.5708 - 1.2650i
   1.2963 + 0.0000i   1.5708 - 1.2604i
   1.2983 + 0.0000i   1.5708 - 1.2558i
   1.3003 + 0.0000i   1.5708 - 1.2512i
   1.3023 + 0.0000i   1.5708 - 1.2467i
   1.3043 + 0.0000i   1.5708 - 1.2422i
   1.3063 + 0.0000i   1.5708 - 1.2378i
   1.3083 + 0.0000i   1.5708 - 1.2333i
   1.3103 + 0.0000i   1.5708 - 1.2289i
   1.3123 + 0.0000i   1.5708 - 1.2246i
   1.3143 + 0.0000i   1.5708 - 1.2203i
   1.3163 + 0.0000i   1.5708 - 1.2160i
   1.3183 + 0.0000i   1.5708 - 1.2117i
   1.3203 + 0.0000i   1.5708 - 1.2075i
   1.3223 + 0.0000i   1.5708 - 1.2033i
   1.3243 + 0.0000i   1.5708 - 1.1991i
