   1.11400 + 0.00000i  -1.57080 + 2.45390i
   1.11500 + 0.00000i  -1.57080 + 2.44331i
   1.11600 + 0.00000i  -1.57080 + 2.43279i
   1.11700 + 0.00000i  -1.57080 + 2.42234i
   1.11800 + 0.00000i  -1.57080 + 2.41195i
   1.11900 + 0.00000i  -1.57080 + 2.40163i
   1.12000 + 0.00000i  -1.57080 + 2.39138i
   1.12100 + 0.00000i  -1.57080 + 2.38119i
   1.12200 + 0.00000i  -1.57080 + 2.37106i
   1.12300 + 0.00000i  -1.57080 + 2.36099i
   1.12400 + 0.00000i  -1.57080 + 2.35099i
   1.12500 + 0.00000i  -1.57080 + 2.34104i
   1.12600 + 0.00000i  -1.57080 + 2.33115i
   1.12700 + 0.00000i  -1.57080 + 2.32132i
   1.12800 + 0.00000i  -1.57080 + 2.31155i
   1.12900 + 0.00000i  -1.57080 + 2.30183i
   1.13000 + 0.00000i  -1.57080 + 2.29216i
   1.13100 + 0.00000i  -1.57080 + 2.28255i
   1.13200 + 0.00000i  -1.57080 + 2.27299i
   1.13300 + 0.00000i  -1.57080 + 2.26348i
   1.13400 + 0.00000i  -1.57080 + 2.25402i
   1.13500 + 0.00000i  -1.57080 + 2.24461i
   1.13600 + 0.00000i  -1.57080 + 2.23525i
   1.13700 + 0.00000i  -1.57080 + 2.22594i
   1.13800 + 0.00000i  -1.57080 + 2.21667i
   1.13900 + 0.00000i  -1.57080 + 2.20745i
   1.14000 + 0.00000i  -1.57080 + 2.19828i
   1.14100 + 0.00000i  -1.57080 + 2.18915i
   1.14200 + 0.00000i  -1.57080 + 2.18006i
   1.14300 + 0.00000i  -1.57080 + 2.17102i
   1.14400 + 0.00000i  -1.57080 + 2.16202i
   1.14500 + 0.00000i  -1.57080 + 2.15306i
   1.14600 + 0.00000i  -1.57080 + 2.14415i
   1.14700 + 0.00000i  -1.57080 + 2.13527i
   1.14800 + 0.00000i  -1.57080 + 2.12643i
   1.14900 + 0.00000i  -1.57080 + 2.11763i
   1.15000 + 0.00000i  -1.57080 + 2.10887i
   1.15100 + 0.00000i  -1.57080 + 2.10015i
   1.15200 + 0.00000i  -1.57080 + 2.09147i
   1.15300 + 0.00000i  -1.57080 + 2.08282i
   1.15400 + 0.00000i  -1.57080 + 2.07420i
   1.15500 + 0.00000i  -1.57080 + 2.06562i
   1.15600 + 0.00000i  -1.57080 + 2.05708i
   1.15700 + 0.00000i  -1.57080 + 2.04857i
   1.15800 + 0.00000i  -1.57080 + 2.04009i
   1.15900 + 0.00000i  -1.57080 + 2.03165i
   1.16000 + 0.00000i  -1.57080 + 2.02324i
   1.16100 + 0.00000i  -1.57080 + 2.01486i
   1.16200 + 0.00000i  -1.57080 + 2.00651i
   1.16300 + 0.00000i  -1.57080 + 1.99819i
   1.16400 + 0.00000i  -1.57080 + 1.98990i
