21	0.9014747654
21.1	0.8819914419
21.2	0.8599291966
21.3	0.8352203615
21.4	0.8078506318
21.5	0.7778656275
21.6	0.7453754102
21.7	0.7105564903
21.8	0.673650992
21.9	0.6349628097
22	0.5948507841
22.1	0.55371913
22.2	0.512005549
22.3	0.4701676322
22.4	0.4286682942
22.5	0.3879610613
22.6	0.3484760533
22.7	0.31060746
22.8	0.274703205
22.9	0.2410573407
23	0.2099055246
23.1	0.1814237193
23.2	0.1557300437
23.3	0.1328895029
23.4	0.1129211534
23.5	0.0958071231
23.6	0.0815028187
23.7	0.0699476068
23.8	0.0610752596
23.9	0.0548234965
24	0.0511420334
24.1	0.0499986539
24.2	0.051382947
24.3	0.0553074927
24.4	0.0618064277
24.5	0.0709314747
24.6	0.0827456643
24.7	0.0973151216
24.8	0.1146994113
24.9	0.1349410399
25	0.1580547888
25.1	0.1840175899
25.2	0.2127596538
25.3	0.2441575141
25.4	0.2780295547
25.5	0.3141344497
25.6	0.3521727711
25.7	0.3917918151
25.8	0.4325934856
25.9	0.4741448649
26	0.5159909117
26.1	0.5576685803
26.2	0.5987215557
26.3	0.6387147612
26.4	0.6772478237
26.5	0.7139667636
26.6	0.7485733211
26.7	0.7808315032
26.8	0.8105711386
26.9	0.8376884317
27	0.8621437001

