0.0 -3.14159 0.0
0.02 -3.141589994814558 5.178498302307385E-7
0.04 -3.141589979306867 1.0325674869862626E-6
0.06 -3.141589953519128 1.5461924295656936E-6
0.08 -3.141589917453011 2.0607395607910648E-6
0.1 -3.141589871070068 2.578207333069131E-6
0.12 -3.141589814291978 3.100585709400713E-6
0.14 -3.141589747000642 3.6298640123349546E-6
0.16 -3.141589669038114 4.168038691948868E-6
0.18 -3.141589580206386 4.717121044822869E-6
0.2 -3.14158948026701 5.279144913541064E-6
0.22 -3.141589368940571 5.85617439809015E-6
0.24 -3.141589245906006 6.450311608310929E-6
0.26 -3.141589110799763 7.063704487610591E-6
0.28 -3.141588963214809 7.698554737568411E-6
0.3 -3.141588802699471 8.357125873595683E-6
0.32 -3.141588628756119 9.041751441452682E-6
0.34 -3.141588440839683 9.754843425212612E-6
0.36 -3.141588238355996 1.0498900877966962E-5
0.38 -3.141588020659967 1.1276518805896201E-5
0.4 -3.141587787053568 1.2090397338708937E-5
0.42 -3.141587536783638 1.2943351218821848E-5
0.44 -3.141587269039494 1.3838319643235337E-5
0.46 -3.14158698295034 1.4778376493180893E-5
0.48 -3.141586677582467 1.5766740987623732E-5
0.5 -3.141586351936235 1.68067887976006E-5
0.52 -3.141586004942831 1.7902063660416517E-5
0.54 -3.141585635460786 1.9056289534110454E-5
0.56 -3.141585242272241 2.027338333421958E-5
0.58 -3.141584824078963 2.15574682965754E-5
0.6 -3.141584379498071 2.291288801205636E-5
0.62 -3.141583907057488 2.4344221181768572E-5
0.64 -3.141583405191082 2.5856297142360733E-5
0.66 -3.141582872233494 2.7454212215189034E-5
0.68 -3.141582306414625 2.9143346934086364E-5
0.7 -3.141581705853773 3.0929384210955336E-5
0.72 -3.141581068553394 3.281832850015274E-5
0.74 -3.141580392392474 3.481652602709435E-5
0.76 -3.141579675119477 3.6930686148816334E-5
0.78 -3.141578914344864 3.916790391886818E-5
0.8 -3.14157810753314 4.1535683932594804E-5
0.82 -3.141577251994412 4.4041965533276196E-5
0.84 -3.141576344875434 4.6695149463339836E-5
0.86 -3.141575383150096 4.950412605093715E-5
0.88 -3.14157436360934 5.2478305026330055E-5
0.9 -3.141573282850456 5.562764706788657E-5
0.92 -3.141572137265738 5.8962697184100086E-5
0.94 -3.141570923030439 6.24946200433098E-5
0.96 -3.141569636090016 6.623523736967179E-5
0.98 -3.14156827214659 7.019706753038679E-5
1.0 -3.141566826644605 7.439336744763311E-5
1.02 -3.141565294755609 7.883817697470132E-5
1.04 -3.141563671362138 8.354636588565652E-5
1.06 -3.141561951040618 8.853368363531674E-5
1.08 -3.141560128043255 9.381681205674412E-5
1.1 -3.14155819627883 9.94134211718859E-5
1.12 -3.141556149292354 1.0534222830291024E-4
1.14 -3.141553980243498 1.1162306068133505E-4
1.16 -3.141551681883741 1.1827692176505532E-4
1.18 -3.141549246532149 1.2532606148469465E-4
1.2 -3.141546666049708 1.3279405065422345E-4
1.22 -3.141543931812124 1.4070585979532394E-4
1.24 -3.141541034681006 1.49087942638493E-4
1.26 -3.141537964973323 1.579683245803125E-4
1.28 -3.141534712429043 1.6737669639285073E-4
1.3 -3.141531266176842 1.7734451349876956E-4
1.32 -3.141527614697769 1.8790510114337803E-4
1.34 -3.141523745786749 1.990937658160026E-4
1.36 -3.141519646511785 2.109479132931684E-4
1.38 -3.141515303170737 2.235071736976698E-4
1.4 -3.141510701245519 2.36813533992414E-4
1.42 -3.141505825353578 2.5091147835162793E-4
1.44 -3.141500659196471 2.6584813687886735E-4
1.46 -3.141495185505388 2.8167344316878625E-4
1.48 -3.141489385983431 2.984403012398159E-4
1.5 -3.141483241244451 3.162047623956882E-4
1.52 -3.141476730748249 3.3502621260687204E-4
1.54 -3.141469832731913 3.549675710385405E-4
1.56 -3.141462524137075 3.760955003888579E-4
1.58 -3.141454780532833 3.9848062974057424E-4
1.6 -3.141446576034079 4.2219779067104266E-4
1.62 -3.14143788321498 4.473262674099529E-4
1.64 -3.141428673017296 4.739500618808587E-4
1.66 -3.141418914653242 5.021581745128339E-4
1.68 -3.14140857550258 5.320449017609227E-4
1.7 -3.141397621003566 5.637101513296367E-4
1.72 -3.141386014537425 5.972597761537851E-4
1.74 -3.14137371730594 6.328059282528385E-4
1.76 -3.141360688201757 6.704674336413804E-4
1.78 -3.141346883670969 7.103701895499119E-4
1.8 -3.141332257567528 7.526475852824857E-4
1.82 -3.141316760998984 7.974409481193869E-4
1.84 -3.141300342163048 8.449000157545229E-4
1.86 -3.141282946174427 8.951834368472642E-4
1.88 -3.141264514881351 9.484593013618278E-4
1.9 -3.141244986671183 0.0010049057024668
1.92 -3.141224296264459 0.0010647113318743
1.94 -3.141202374496668 0.0011280761106064
1.96 -3.141179148087053 0.001195211857301
1.98 -3.141154539393637 0.0012663429962868
2.0 -3.14112846615369 0.0013417073077988
2.02 -3.141100841208728 0.0014215567228383
2.04 -3.141071572213168 0.001506158165337
2.06 -3.141040561325623 0.0015957944444387
2.08 -3.141007704881841 0.0016907651998829
2.1 -3.140972893048171 0.0017913879036486
2.12 -3.140936009454408 0.0018979989212081
2.14 -3.14089693080479 0.0020109546359372
2.16 -3.140855526465836 0.0021306326404411
2.18 -3.140811658029665 0.0022574329987776
2.2 -3.140765178851324 0.0023917795837967
2.22 -3.140715933558573 0.0025341214940678
2.24 -3.140663757532508 0.0026849345551296
2.26 -3.140608476357271 0.0028447229100803
2.28 -3.140549905236999 0.0030140207048271
2.3 -3.140487848378098 0.0031933938736247
2.32 -3.140422098334727 0.0033834420308727
